Stato,Posizione,PosizioneKalman,Velocita,VelocitaKalman,ErrorePosizione, ErroreVeocita, KalmanGain
0,4.978161573287226E-4,0.0020573112452862627,0.009956323146574452,0.011414568430895864,0.00155949508795754,0.0014582452843214123,0.9999990000010001
1,0.0020003203375776,9.140627145016898E-4,0.02009376045840309,0.02091313934725409,0.00108625762307591,8.193788888510023E-4,0.9999990000010001
2,0.004508607769138503,0.0042050634767304765,0.030071988172814968,0.031103220647604967,3.035442924080268E-4,0.001031232474789999,0.9999990000010001
3,0.00801369653468526,0.007799443692737356,0.0400297871381202,0.04109750801513666,2.1425284194790447E-4,0.0010677208770164606,0.9999990000010001
4,0.012511592482293759,0.011663944259115329,0.04992813181404978,0.05077090336342116,8.476482231784301E-4,8.427715493713808E-4,0.9999990000010001
5,0.017999803504011765,0.019580376397831008,0.05983608862031035,0.061965719889446616,0.0015805728938192432,0.0021296312691362687,0.9999990000010001
6,0.024489377410429104,0.024999915427004884,0.06995538950803645,0.07123067814703497,5.105380165757803E-4,0.0012752886389985202,0.9999990000010001
7,0.03198509614949476,0.03427997091119985,0.0799589852732768,0.0822792567959244,0.00229487476170509,0.0023202715226476045,0.9999990000010001
8,0.04047741764670712,0.04119854449321945,0.08988744467097035,0.09104387609660082,7.21126846512328E-4,0.0011564314256304747,0.9999990000010001
9,0.04997100821104364,0.050222500925204784,0.09998436661575995,0.10062251910086774,2.514927141611459E-4,6.381524851077902E-4,0.9999990000010001
10,0.060472302116579536,0.059852645841642245,0.11004151149495804,0.10991140287117279,6.196562749372914E-4,1.3010862378524946E-4,0.9999990000010001
11,0.07196924282848312,0.07123133306192161,0.11989730274311368,0.11982207544980969,7.379097665615036E-4,7.522729330398936E-5,0.9999990000010001
12,0.08445397718226576,0.08472841688678101,0.12979738433253898,0.13065520687313056,2.74439704515253E-4,8.578225405915796E-4,0.9999990000010001
13,0.0979292840793696,0.09751823817510268,0.1397087536095378,0.14000110000947522,4.11045904266924E-4,2.923463999374154E-4,0.9999990000010001
14,0.11240236268512077,0.11107804907842918,0.14975281850548547,0.14919062705520272,0.0013243136066915934,5.621914502827452E-4,0.9999990000010001
15,0.12788235886784838,0.12858935240453545,0.1598471051490663,0.1610265793813783,7.069935366870728E-4,0.0011794742323119889,0.9999990000010001
16,0.1443635843258342,0.14481138432624224,0.16977740401065045,0.17068765184271695,4.478000004080329E-4,9.10247832066502E-4,0.9999990000010001
17,0.16183475809739906,0.1623847467935416,0.17964607142064648,0.18069179479837064,5.499886961425338E-4,0.001045723377724156,0.9999990000010001
18,0.1802947346454012,0.1802052752453969,0.18955345953939576,0.19001048729175002,8.945940000429364E-5,4.5702775235426096E-4,0.9999990000010001
19,0.19975218030770317,0.19951906608186248,0.19959545370664386,0.19983870223550868,2.3311422584068597E-4,2.4324852886481452E-4,0.9999990000010001
20,0.22021111854024014,0.22071791158892545,0.20958331094409569,0.21049891741575452,5.067930486853112E-4,9.156064716588364E-4,0.9999990000010001
21,0.24167404083804375,0.24109600872639508,0.21967513501197689,0.21941104489001007,5.780321116486686E-4,2.6409012196682013E-4,0.9999990000010001
22,0.2641400190752794,0.26477895361748244,0.22964442973273658,0.23056902523392078,6.389345422030401E-4,9.245955011842055E-4,0.9999990000010001
23,0.2876056044935649,0.28752555318476186,0.2396672786329736,0.2398107175721729,8.00513088030641E-5,1.434389391992974E-4,0.9999990000010001
24,0.31207302417858873,0.31295672857097473,0.24968111506750296,0.2507024780538397,8.837043923859977E-4,0.0010213629863367601,0.9999990000010001
25,0.3375376592910088,0.3378301581189329,0.2596115871808994,0.26004687037030205,2.9249882792409254E-4,4.3528318940266875E-4,0.9999990000010001
26,0.36399546336744704,0.3646438621236332,0.26954449434786454,0.2703381863021963,6.483987561861637E-4,7.936919543317655E-4,0.9999990000010001
27,0.39145660703536184,0.39192898277037663,0.2796783790104305,0.2801033549170738,4.7237573501479613E-4,4.249759066432546E-4,0.9999990000010001
28,0.4199278379079012,0.42014079727958403,0.28974623844035724,0.28982110523522475,2.129593716828082E-4,7.486679486751191E-5,0.9999990000010001
29,0.4494098503784279,0.4506202798421649,0.2998940109701766,0.3007651364170125,0.001210429463737006,8.711254468359297E-4,0.9999990000010001
30,0.4799011371084782,0.4791705026493872,0.30993172363082966,0.3088455122986819,7.306344590909952E-4,0.0010862113321477573,0.9999990000010001
31,0.5113941052022445,0.5121658756561732,0.31992763824449594,0.3203726470246179,7.717704539287329E-4,4.45008780121936E-4,0.9999990000010001
32,0.54387359998981,0.5439188528187225,0.32966225750681505,0.3296286632726491,4.525282891254534E-5,3.3594234165934544E-5,0.9999990000010001
33,0.5773318771016664,0.5777206339849161,0.33950328473031505,0.33995031818556304,3.887568832496857E-4,4.4703345524799154E-4,0.9999990000010001
34,0.6117782665277912,0.6105605831768882,0.34942450379218154,0.3483788976238184,0.0012176833509029983,0.0010456061683631335,0.9999990000010001
35,0.6472252022047952,0.6491989644096859,0.3595142097478979,0.36151357706728837,0.001973762204890761,0.001999367319390488,0.9999990000010001
36,0.683678243916613,0.6840562857932767,0.3695466244884611,0.36980921510989256,3.780418766636817E-4,2.6259062143146883E-4,0.9999990000010001
37,0.7211284786720357,0.720492646249627,0.3794580706199925,0.37881664892893346,6.35832422408722E-4,6.414216910590187E-4,0.9999990000010001
38,0.7595777971481217,0.7597728213677725,0.3895282989017291,0.3896705872220094,1.9502421965078565E-4,1.422883202803482E-4,0.9999990000010001
