Stato,Posizione,PosizioneKalman,Velocita,VelocitaKalman,ErrorePosizione, ErroreVeocita, KalmanGain
0,4.97328904092542E-4,0.0012303342450083977,0.009946578081850841,0.010071665269358543,7.330053409158557E-4,1.250871875077015E-4,0.9999990000010001
1,0.001991994628085009,-5.100542767762515E-4,0.019946736397998502,0.019721750895567783,0.0025020489048612603,2.2498550243071902E-4,0.9999990000010001
2,0.004484741135909645,0.0049206380835648865,0.029908193758494215,0.03032386526493984,4.3589694765524146E-4,4.156715064456244E-4,0.9999990000010001
3,0.007970481151130094,0.006841278022361388,0.03980660654591475,0.03984908023731188,0.0011292031287687063,4.2473691397128255E-5,0.9999990000010001
4,0.012447166923462115,0.011721193700397823,0.04972710890072567,0.049999025060623134,7.259732230642923E-4,2.719161598974673E-4,0.9999990000010001
5,0.017919995289100092,0.01701046196945473,0.059729458412033885,0.05990262811984608,9.095333196453628E-4,1.731697078121916E-4,0.9999990000010001
6,0.02438678908234131,0.025285181203613907,0.06960641745279045,0.0708451708110767,8.983921212725975E-4,0.001238753358286257,0.9999990000010001
7,0.03184374208013516,0.029924402062288687,0.0795326425030865,0.07910430790235651,0.0019193400178464694,4.2833460072999596E-4,0.9999990000010001
8,0.04029310120575903,0.039847136740492166,0.089454540009391,0.09008185406414013,4.459644652668668E-4,6.273140547491257E-4,0.9999990000010001
9,0.049733442729113224,0.04748646872237971,0.09935229045769278,0.09878383420430976,0.0022469740067335153,5.684562533830179E-4,0.9999990000010001
10,0.060171307501376996,0.06173317246018262,0.10940500498758259,0.11163118652070307,0.0015618649588056213,0.002226181533120486,0.9999990000010001
11,0.0716189047318331,0.07188288696880017,0.1195469396215395,0.12046350211225895,2.639822369670669E-4,9.16562490719447E-4,0.9999990000010001
12,0.08406655201091469,0.08561403301867561,0.129406005960092,0.13141334033337243,0.0015474810077609202,0.002007334373280434,0.9999990000010001
13,0.09750425299028462,0.09729329383407337,0.13934801362730667,0.1397904904353804,2.1095915621124894E-4,4.4247680807371625E-4,0.9999990000010001
14,0.11194009646498092,0.11321262233179857,0.14936885586661913,0.15101249438634767,0.001272525866817656,0.0016436385197285408,0.9999990000010001
15,0.12738125020354757,0.12852289901711583,0.15945421890471387,0.16076042866483203,0.0011416488135682634,0.0013062097601181655,0.9999990000010001
16,0.14382171251466305,0.1427141354866771,0.1693550273175962,0.16865907386730986,0.0011075770279859454,6.959534502863352E-4,0.9999990000010001
17,0.16126006933794843,0.16016187337161542,0.1794121091481111,0.17873218774951385,0.0010981959663330099,6.799213985972385E-4,0.9999990000010001
18,0.17970723830793778,0.17910141100635207,0.18953127025167618,0.18924396951710964,6.058273015857041E-4,2.873007345665368E-4,0.9999990000010001
19,0.19916686151046556,0.19771784453437646,0.19966119379887967,0.19850698820422924,0.0014490169760890959,0.0011542055946504315,0.9999990000010001
20,0.21962457644175432,0.21955059686488176,0.2094931048268955,0.20986917111442946,7.397957687255152E-5,3.7606628753394933E-4,0.9999990000010001
21,0.24107083945931815,0.24094381354047753,0.21943215552438125,0.2197825109574961,1.2702591884061754E-4,3.503554331148462E-4,0.9999990000010001
22,0.26351157068958986,0.2626180603867394,0.22938246908105317,0.2290351139948544,8.935103028504532E-4,3.47355086198764E-4,0.9999990000010001
23,0.2869531944328323,0.2873303807363264,0.23945000578379522,0.24025686432225635,3.7718630349409255E-4,8.068585384611304E-4,0.9999990000010001
24,0.31140054612875756,0.31074649897691436,0.2494970281347107,0.2492175556854566,6.540471518431956E-4,2.7947244925410897E-4,0.9999990000010001
25,0.3368409159921104,0.33491864542100075,0.2593103691323461,0.25804379414356443,0.0019222705711096633,0.001266574988781688,0.9999990000010001
26,0.3632734752564595,0.36273111627874005,0.2693408161546349,0.26946359745534193,5.42358977719426E-4,1.2278130070703108E-4,0.9999990000010001
27,0.3907048204215203,0.39025835776882345,0.2792860871465821,0.2795398870809678,4.4646265269687735E-4,2.5379993438567894E-4,0.9999990000010001
28,0.41912674033488956,0.417887973401731,0.2891523111208035,0.28876112357140815,0.0012387669331585527,3.911875493953221E-4,0.9999990000010001
29,0.4485311173086272,0.4476535045293128,0.2989352283539494,0.29912945996163787,8.776127793144184E-4,1.9423160768844427E-4,0.9999990000010001
30,0.47892029518196916,0.4809408707238891,0.30884832911289006,0.31185106437189214,0.0020205755419199223,0.003002735259002076,0.9999990000010001
31,0.5103087044586659,0.5102799501358558,0.31891985642104653,0.319627888921776,2.8754322810131683E-5,7.08032500729483E-4,0.9999990000010001
32,0.5426946088319539,0.5428211827387471,0.32879823104471373,0.3297022761731141,1.265739067932703E-4,9.040451284003659E-4,0.9999990000010001
33,0.576076108433275,0.5753355567162948,0.33883176098171064,0.33879533915352067,7.405517169801756E-4,3.642182818996975E-5,0.9999990000010001
34,0.6104650342707367,0.6106362491598591,0.3489467557675276,0.34966976099035413,1.7121488912241745E-4,7.230052228265338E-4,0.9999990000010001
35,0.6458593881902344,0.6476182533533867,0.3589403226224262,0.36110846609921826,0.0017588651631523788,0.0021681434767920615,0.9999990000010001
36,0.682248573265708,0.6806832204330805,0.3688433788870466,0.36774017396439107,0.0015653528326274868,0.0011032049226555318,0.9999990000010001
37,0.7196341826246548,0.7199843432078626,0.37886880829189146,0.3796662453131803,3.5016058320780363E-4,7.97437021288816E-4,0.9999990000010001
38,0.7580145510952132,0.757583547613962,0.3887385611192787,0.3888418873692946,4.3100348125124643E-4,1.0332625001591156E-4,0.9999990000010001
39,0.7973771818227127,0.7975870523177527,0.39851405343071167,0.39943055822815077,2.0987049504006539E-4,9.165047974390994E-4,0.9999990000010001
40,0.83772591347704,0.8375513997371324,0.40846057965583554,0.40897547393883205,1.745137399075114E-4,5.148942829965031E-4,0.9999990000010001
41,0.8790685231373985,0.8774631839237391,0.41839161355133403,0.4175628714945581,0.0016053392136593514,8.287420567759107E-4,0.9999990000010001
42,0.921409327199515,0.9209485319379336,0.42842446769099723,0.4287315211237803,4.607952615813815E-4,3.070534327830887E-4,0.9999990000010001
43,0.9647529851783935,0.9646428036498756,0.4384486918865732,0.43903688030106064,1.1018152851782759E-4,5.881884144874339E-4,0.9999990000010001
44,1.0090954621510602,1.0096711606735937,0.44840084756676096,0.44963092800244264,5.756985225335853E-4,0.0012300804356816797,0.9999990000010001
45,1.054441915578581,1.0552049896808027,0.458528220983657,0.4596982001690857,7.630741022217613E-4,0.0011699791854287156,0.9999990000010001
46,1.1007962746049051,1.0997304537654633,0.4685589595428307,0.46784898410809167,0.0010658208394418445,7.099754347390519E-4,0.9999990000010001
47,1.148143674721848,1.149608629015582,0.47838904279602706,0.48031545334859516,0.0014649542937339444,0.001926410552568092,0.9999990000010001
48,1.1964837404557247,1.1953625875706657,0.4884122718815063,0.4876736122775654,0.0011211528850589847,7.386596039409277E-4,0.9999990000010001
49,1.245819999338423,1.2457834425633363,0.498312905772458,0.4987707580030308,3.6556775086626914E-5,4.578522305727639E-4,0.9999990000010001
50,1.296151135351133,1.2954853967940665,0.5083098144817441,0.5081286039230873,6.657385570665308E-4,1.812105586567192E-4,0.9999990000010001
51,1.3474753917994553,1.34568408873071,0.518175314484704,0.5170688260830808,0.001791303068745309,0.0011064884016231957,0.9999990000010001
52,1.3997923931694694,1.3998202842139134,0.5281647129155773,0.5289039784773604,2.789104444400614E-5,7.392655617830535E-4,0.9999990000010001
53,1.4531091878327291,1.4522657774376135,0.5381711803496175,0.5380051807884749,8.434103951155958E-4,1.659995611426046E-4,0.9999990000010001
54,1.5074252191492197,1.5090244737954135,0.548149445980192,0.5503434312817693,0.001599254646193815,0.002193985301577328,0.9999990000010001
55,1.5627445106051563,1.5617582382135347,0.5582363831385416,0.5576794666283861,9.862723916216343E-4,5.569165101555473E-4,0.9999990000010001
56,1.6190717661936767,1.6187844007063064,0.568308728631867,0.5684007002983396,2.8736548737029466E-4,9.197166647256783E-5,0.9999990000010001
57,1.6764037101249403,1.6744629595202498,0.5783301499934057,0.5768202223310169,0.0019407506046904555,0.001509927662388777,0.9999990000010001
58,1.7347462909523663,1.7346240121790173,0.5885214665551165,0.5887027410186495,1.2227877334902715E-4,1.812744635329988E-4,0.9999990000010001
59,1.7941055356833298,1.7957095595705614,0.5986634280641534,0.6003343703579679,0.001604023887231687,0.0016709422938144813,0.9999990000010001
