Stato,Posizione,PosizioneKalman,Velocità,VelocitàKalman,KalmanGain
0,-0.7012229138394116,-0.10605773507246452,-14.024458276788229,-4.561559839171229E-4,0.0011184923401733316
1,-1.7402678688721114,0.14076145178585026,-6.756440823865766,0.03470717843607235,0.002143491337477199
2,-2.3016300682504323,0.3285103960966329,-4.47080316370065,0.06926816913711267,0.0031924612185625467
3,-2.4156815541484837,0.8607367072767346,2.189773445739612,0.16893591504323174,0.004282294711602883
4,-2.1140775472264974,0.9338045075252004,3.842306692700109,0.19054761584904653,0.005429071756010834
5,-1.6018400468739171,1.339476140447347,6.402443314351496,0.2950102968439188,0.006647808127245006
6,-1.2770005551088661,-0.07283464579982701,0.09434652094952689,-0.09601358028734608,0.007952182233704174
7,-1.4896220187910776,-0.45255940886870816,-4.346775794593753,-0.20023373698880131,0.009354241752389008
8,-2.5258968904061527,0.0942786103849872,-16.378721637707745,-6.094816202400488E-4,0.010864095763378986
9,-4.200395522158342,0.6717497623550139,-17.111250997336036,0.2158934448080386,0.012489602415976169
10,-6.735438012469075,-0.050298605690510145,-33.58959880887862,-0.054983270485433416,0.014236066584314649
11,-9.72475980778091,0.8403872055425227,-26.196837097358085,0.3076895376604739,0.01610596598876529
12,-12.506386450594514,4.052972600650302,-29.435695758914008,1.61250833598418,0.01809872730234327
13,-14.831600989254618,5.329135084363359,-17.068595014288107,2.0878011050438006,0.020210575205092583
14,-16.714095437281145,5.643023869501853,-20.58129394624246,2.1423224331970423,0.022434476610472244
15,-19.609766646772744,6.007096922889178,-37.33213024358948,2.216768462534865,0.024760198945449587
16,-22.914359288300066,2.175175555942375,-28.759722586956926,0.46069288267837183,0.02717449529355016
17,-25.246620080933063,-6.433520255622977,-17.88549326570295,-3.321542833382467,0.029661420681227176
18,-26.366418699807692,-7.406658365570564,-4.510479111789653,-3.5933655608190005,0.03220277352241365
19,-26.18356704378657,-6.627728013051757,8.167512232212088,-3.083416253607649,0.034778645354951156
20,-25.241028460406888,-6.522358210517555,10.68325943538153,-2.8921856840876115,0.037368051881952455
21,-24.16188507733789,-11.362623343572505,10.89960822599845,-4.871377655893607,0.039949610374020804
22,-23.641670067155644,-11.460283697401003,-0.4953080223535231,-4.692210412000578,0.042502223860093294
23,-23.354485945748173,-14.155175584681329,6.23899045050297,-5.644626435958869,0.0450057319280362
24,-22.778829864273686,-12.406232035552117,5.274131178986838,-4.641469093483746,0.0474414914467014
25,-22.443453765512608,-11.308985608085775,1.433390796234736,-3.9661622966045695,0.04979285755532696
26,-23.143519809766378,-15.167213203254754,-15.434711681310118,-5.4203213574062605,0.05204554478271138
27,-24.26629857416215,-11.08831311078296,-7.020863606605257,-3.4720985093235948,0.054187858809795285
28,-25.51647278039591,-13.137552792934812,-17.982620518069943,-4.170404650382825,0.05621079980127241
29,-27.082024763994802,-17.677465888936887,-13.328419153907884,-5.8616338636894625,0.05810804723945195
30,-27.78470193776271,-21.48478587132186,-0.7251243214502399,-7.169867670743277,0.059875843000167135
31,-27.154089079217687,-28.986527683727857,13.337381492350673,-9.913684732995584,0.06151279365045427
