Stato,Posizione,PosizioneKalman,Velocità,VelocitàKalman,KalmanGain
0,4.945871981709371E-4,6.044668449619754E-5,0.009891743963418744,0.009995222718633989,0.4999999965793754
1,0.0019894808428042882,0.003208666131967293,0.020006128929248277,0.020160056794064803,0.49999999873801326
2,0.004489931525247217,0.004568289986345398,0.030002884719610278,0.029933339288261886,0.49999999344427937
3,0.007993470335854593,0.00639463156277095,0.040067891492537235,0.03945400451869044,0.49999999857663663
4,0.012501812038215656,0.014081948185058603,0.050098942554684,0.0506635178147666,0.4999999960161233
5,0.01801440477764075,0.01859927635043212,0.06015291223381785,0.06018965718559311,0.5000000009028821
6,0.02452628413397415,0.024147527447732194,0.07008467489285015,0.06968210118201511,0.49999999775272214
7,0.03203814838074002,0.03107840945926135,0.08015261004246717,0.07936704061001937,0.49999999725467875
8,0.04055845426187591,0.038300096727368546,0.09025350758025061,0.08858667776916455,0.4999999993178107
9,0.050085138018527445,0.05080782366017904,0.10028016755278013,0.10076260303992687,0.4999999989141608
10,0.060618731230095896,0.06148369730656032,0.11039169667858892,0.11083561941173034,0.4999999927394563
11,0.07215087572063257,0.0725618440482458,0.12025119313214451,0.12044698294341431,0.4999999933229952
12,0.0846749506513727,0.08327429174518902,0.13023030548265793,0.1289821444325276,0.4999999933476338
13,0.09819825536973419,0.09762801007187759,0.1402357888845717,0.13977067033716362,0.4999999966283744
14,0.11272183018262576,0.1121631188556506,0.15023570737325986,0.1498198252076616,0.500000002076964
15,0.12824283841698603,0.1283936703407759,0.16018445731394554,0.16046732527707003,0.5000000039189959
16,0.1447580670642615,0.14539093187238972,0.17012011563156407,0.17086381762137481,0.49999999971189996
17,0.16226863102342134,0.16362596522772688,0.1800911635516328,0.18144279187453957,0.5000000017085227
18,0.1807808503577138,0.1820939439843623,0.190153223134216,0.1912836004173168,0.5000000034925601
19,0.20029614768350182,0.20013473691738606,0.20015272338154438,0.19983648080110436,0.4999999926946431
20,0.2208116747200412,0.2199991945523471,0.21015781734924313,0.20926768488498695,0.4999999992234328
21,0.24233301685155997,0.24243092671879354,0.22026902528113232,0.22019672047701105,0.4999999911020581
22,0.2648701668996637,0.2660133786407113,0.2304739756809422,0.2311843088713446,0.49999999362188174
23,0.2884231088833313,0.2893692985459167,0.24058486399240983,0.24093933349038044,0.5000000007357974
24,0.3129873499517886,0.31465071882267026,0.25069995737673767,0.251583128407912,0.49999999710605275
25,0.3385605695420538,0.3390079810852979,0.26076443442856634,0.2603612952353267,0.49999999360331976
26,0.3651378553337092,0.36583719424985717,0.2707812814045402,0.27063717514727775,0.4999999988626685
27,0.39271957481515185,0.39201948128486364,0.2808531082243137,0.27933435323647005,0.49999999148897095
28,0.42130317130524914,0.4211855819629093,0.29081882157763234,0.2900264059624553,0.49999999203451767
29,0.45089117826682423,0.4484223886128712,0.3009413176538692,0.2978834348926092,0.49999999708385556
30,0.48148275182429123,0.48352050650920436,0.31089015349547017,0.3124371630051814,0.49999999748357593
31,0.5130696857999102,0.5139434443419513,0.3208485260169097,0.3211856244948534,0.49999999945021606
32,0.5456550529172164,0.5448710551756388,0.3308588163292133,0.3295821949758337,0.49999999469537926
33,0.5792376179058911,0.5785548710157951,0.3407924834442821,0.3397962374824598,0.5000000034149442
34,0.6138196724741602,0.6140068016916336,0.35084860792110195,0.35071918171192346,0.4999999919173633
35,0.6494093938068378,0.6502265530922554,0.36094581873245146,0.36133436200769703,0.4999999969921038
36,0.6860029987550829,0.6851300105141177,0.37092628023245205,0.3696910621987611,0.4999999978497737
37,0.7235947062932092,0.723977907085606,0.3809078705300757,0.3810011074635197,0.4999999993599881
38,0.7621967892631908,0.7620322949561692,0.3911337888695552,0.39048248424049053,0.4999999990380831
39,0.8018106809781053,0.8013149745531455,0.40114404542873483,0.4002300594480827,0.4999999946598785
40,0.8424173012083008,0.8419793218762459,0.4109883591751767,0.4103644243177283,0.49999999917538845
41,0.8840160091198586,0.8837940404597389,0.4209857990559809,0.42062899563426814,0.49999999271096673
42,0.9266164058916172,0.9270241133917123,0.4310221363791928,0.4312633715747712,0.49999999289683983
43,0.9702183387304233,0.9712180859542492,0.441016520396929,0.44180314467458626,0.5000000014474288
44,1.0148257024509333,1.0138746248692354,0.451130754013275,0.44987858337083875,0.4999999958739089
45,1.0604353570219514,1.060193648422723,0.46106233740708485,0.4606690424606849,0.5000000002284707
46,1.107036842376084,1.1084013883636974,0.47096736967556396,0.47222958519334485,0.4999999957637984
47,1.1546346918387196,1.1540073099494066,0.4809896195771502,0.48021607339157757,0.4999999967404176
48,1.203234777792411,1.203904056113964,0.4910120994966817,0.49152400403053653,0.500000000080631
49,1.2528318329057457,1.2493676086761083,0.5009290027700134,0.4975397875483978,0.4999999991099782
50,1.3034156251359614,1.3050331776831459,0.5107468418343,0.5126871124085534,0.4999999939654708
51,1.3549903282715512,1.3560893315868372,0.5207472208774989,0.5220093408983517,0.4999999956511192
52,1.4075710729350133,1.4075415050881515,0.5308676723917414,0.5308215273857121,0.49999999924148203
53,1.461155417876948,1.4601619711651206,0.5408192264469542,0.539906767223162,0.4999999998810374
54,1.515741777291167,1.5164935154103099,0.5509079618374305,0.551657822800099,0.49999999946172846
55,1.571336420096596,1.5721768028441352,0.5609848942711513,0.561674474032851,0.5000000009329358
56,1.6279383986044782,1.6279988317149068,0.5710546758864945,0.5708702913178008,0.49999999639624493
57,1.6855456921318308,1.6854448383224336,0.581091194660557,0.5807361466204884,0.49999999194221306
58,1.7441584346898524,1.7445701728944818,0.5911636564998779,0.5912609605642937,0.4999999956252262
59,1.8037726245892984,1.8035541418210408,0.6011201414890428,0.6006501463910401,0.500000002326755
